country,clim,urt,value
JPN,Zone_4A Mixed Humid,urb,0.239647496812346
JPN,Zone_4A Mixed Humid,rur,0.374127758110012
JPN,Zone_5A Cool Humid,urb,0.0595670690223635
JPN,Zone_5A Cool Humid,rur,0.237031740693366
JPN,Zone_6A Cold Humid,urb,0.0323073534600409
JPN,Zone_6A Cold Humid,rur,0.0648622486629769
KAZ,Zone_7A Very cold Humid,urb,1
KAZ,Zone_7A Very cold Humid,rur,1
KEN,Zone_1A Very hot Humid,urb,0.0238518238151179
KEN,Zone_1A Very hot Humid,rur,0.0657022219297744
KEN,Zone_2A Hot Humid,urb,0.476906246951964
KEN,Zone_2A Hot Humid,rur,0.622057528662338
KEN,Zone_3A Warm Humid,urb,0.0335757591712968
KEN,Zone_3A Warm Humid,rur,0.146312209800694
KEN,Zone_3C Warm Marine,urb,0.465666170061621
KEN,Zone_3C Warm Marine,rur,0.165928039607194
KGZ,Zone_4B Mixed Dry,urb,0.628309476202932
KGZ,Zone_4B Mixed Dry,rur,0.701434850622452
KGZ,Zone_6A Cold Humid,urb,0.371690523797068
KGZ,Zone_6A Cold Humid,rur,0.298565149377548
KHM,Zone_0A Extremely hot Humid,urb,1
KHM,Zone_0A Extremely hot Humid,rur,1
KNA,Zone_1A Very hot Humid,urb,1
KNA,Zone_1A Very hot Humid,rur,1
KOR,Zone_4A Mixed Humid,urb,0.683891436282194
KOR,Zone_4A Mixed Humid,rur,0.508489284847552
KOR,Zone_5A Cool Humid,urb,0.316108563717806
KOR,Zone_5A Cool Humid,rur,0.491510715152448
KWT,Zone_1B Very hot Dry,urb,1
KWT,Zone_1B Very hot Dry,rur,1
LAO,Zone_1A Very hot Humid,urb,0.915231685243865
LAO,Zone_1A Very hot Humid,rur,0.409691338718823
LAO,Zone_2A Hot Humid,urb,0.0847683147561348
LAO,Zone_2A Hot Humid,rur,0.590308661281177
LBN,Zone_3A Warm Humid,urb,1
LBN,Zone_3A Warm Humid,rur,1
LBR,Zone_1A Very hot Humid,urb,1
LBR,Zone_1A Very hot Humid,rur,1
LBY,Zone_2B Hot Dry,urb,1
LBY,Zone_2B Hot Dry,rur,1
LCA,Zone_0A Extremely hot Humid,urb,1
LCA,Zone_0A Extremely hot Humid,rur,1
LKA,Zone_0A Extremely hot Humid,urb,0.790688980243755
LKA,Zone_0A Extremely hot Humid,rur,0.621206233418885
LKA,Zone_1A Very hot Humid,urb,0.101575636429796
LKA,Zone_1A Very hot Humid,rur,0.22617017478430201
LKA,Zone_2A Hot Humid,urb,0.107735383326449
LKA,Zone_2A Hot Humid,rur,0.152623591796813
LSO,Zone_3C Warm Marine,urb,1
LSO,Zone_3C Warm Marine,rur,1
LTU,Zone_6A Cold Humid,urb,1
LTU,Zone_6A Cold Humid,rur,1
LUX,Zone_5A Cool Humid,urb,1
LUX,Zone_5A Cool Humid,rur,1
LVA,Zone_6A Cold Humid,urb,1
LVA,Zone_6A Cold Humid,rur,1
MAR,Zone_3A Warm Humid,urb,0.741748666959914
MAR,Zone_3A Warm Humid,rur,0.496563099946482
MAR,Zone_3B Warm Dry,urb,0.258251333040086
MAR,Zone_3B Warm Dry,rur,0.503436900053518
MDA,Zone_5A Cool Humid,urb,1
MDA,Zone_5A Cool Humid,rur,1
MDG,Zone_1A Very hot Humid,urb,0.0442636892513154
MDG,Zone_1A Very hot Humid,rur,0.176738305324778
MDG,Zone_2A Hot Humid,urb,0.1845112522758
MDG,Zone_2A Hot Humid,rur,0.629459562686165
MDG,Zone_3C Warm Marine,urb,0.771225058472885
MDG,Zone_3C Warm Marine,rur,0.193802131989057
MDV,Zone_0A Extremely hot Humid,urb,1
MDV,Zone_0A Extremely hot Humid,rur,1
MEX,Zone_0A Extremely hot Humid,urb,0.0355531099534938
MEX,Zone_0A Extremely hot Humid,rur,0.0706638637175973
MEX,Zone_1A Very hot Humid,urb,0.111415254959726
MEX,Zone_1A Very hot Humid,rur,0.252114072083366
