region_bld,region_gea,urt,clim,mat,arch,inc_cl,year,yr_con,bld_age,value
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1960,p2,2192137.247180136
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1965,p2,2123212.58511833
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1970,p2,2253268.6893953905
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1975,p2,2703009.1848396314
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1980,p2,2541081.4587303665
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1985,p2,2192109.8857555
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1990,p2,1874238.6987039747
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,2015,p3,474113.43059931754
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,2020,p3,474113.43059931754
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1945,p1,5874965.651826504
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1960,p2,438360.6427528422
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1985,p2,27108.76829987029
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1990,p2,228865.27471102157
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,2000,p3,5048.59634007732
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,2010,p3,59246.49688473811
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1945,p1,5709551.44523203
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1960,p2,2347702.381781379
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1965,p2,1455598.6514826128
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1970,p2,1426765.9757087305
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1975,p2,1350422.7154255349
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1980,p2,1111903.0153939396
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1985,p2,907223.1585789643
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1990,p2,840394.1963242852
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,2015,p3,170682.51388673368
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,2020,p3,170682.51388673368
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,128334168.88083227
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,2907158.0291412133
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1965,p2,1781918.3073561075
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1970,p2,4902655.545967328
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1975,p2,230281.86117746192
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1980,p2,1306632.3063609966
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1985,p2,4278905.803395235
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1990,p2,2513763.8436232866
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1995,p3,4776226.235177659
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2000,p3,2835879.8733086763
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2005,p3,4618117.4814142035
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2010,p3,6620994.316871152
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,85355522.46837926
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,25910379.403864846
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1965,p2,34155937.920983166
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1970,p2,15242382.719164897
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1975,p2,20508910.180546142
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1980,p2,21594462.029488176
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1985,p2,19365717.01163182
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1990,p2,13186427.050346114
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1995,p3,5771865.276465417
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2000,p3,3307551.327384302
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2005,p3,1347529.2553329808
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2010,p3,2360292.1450272626
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2015,p3,16570644.121998012
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2020,p3,16570644.121998012
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1945,p1,25821755.40794544
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1960,p2,3809526.9692686084
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1965,p2,1170258.158958638
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1970,p2,1383323.131858652
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1975,p2,878511.1221947732
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1980,p2,172043.78527605277
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,2000,p3,579962.6353051867
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,36756079.06699861
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,5422686.114034558
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1965,p2,1665808.5688216058
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1970,p2,1969096.7406169723
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1975,p2,1250520.1043669416
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1980,p2,244896.4012929841
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2000,p3,825550.089158305
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1945,p1,11663242.448906908
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1960,p2,1720697.7587750058
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1965,p2,528585.4668098433
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1970,p2,624823.247556074
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1975,p2,396808.35213904653
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1980,p2,77709.21643390354
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,2000,p3,261959.13951981385
C-EEU-ROU,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1945,p1,13372273.09659628
C-EEU-ROU,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1960,p2,4123022.1339758816
C-EEU-ROU,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1965,p2,5792259.234486913
C-EEU-ROU,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1970,p2,3743631.682402343
