region_bld,year,urt,value
C-WEU-ESP,2030,urb,0.8273900000000001
C-WEU-ESP,2035,rur,0.16271000000000002
C-WEU-ESP,2035,urb,0.83729
C-WEU-ESP,2040,rur,0.15275000000000002
C-WEU-ESP,2040,urb,0.8472499999999998
C-WEU-ESP,2045,rur,0.14280000000000004
C-WEU-ESP,2045,urb,0.8572
C-WEU-ESP,2050,rur,0.13293999999999995
C-WEU-ESP,2050,urb,0.86706
C-WEU-ESP,2055,rur,0.12322999999999995
C-WEU-ESP,2055,urb,0.87677
C-WEU-ESP,2060,rur,0.11375000000000002
C-WEU-ESP,2060,urb,0.88625
C-WEU-ESP,2065,rur,0.10453999999999997
